Cysts, InfectionRate, ViralLoad, Virulence, Transmissibility, Durability, MaxTicks, Filename
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,B3567D75-4E45-4194-8188-621CC2BAC98E
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,D82D2875-6594-411C-8A08-1B13B3ED1F8B
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,4057E650-19CC-4752-A3A9-9513F011ECEF
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,6B9B61D1-2B06-40D1-87E9-04CFC37CA3CB
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,6F78F77C-700F-4928-AD31-C7AE54484F22
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,06101764-FFBF-4B70-9F14-040A9D611D90
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,2A0EEF4F-FBA2-40CD-9BAD-28D9BFECBF03
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,5E07BDCA-F109-4EE2-8CEE-4B8AEE858FDF
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,0133C267-65E6-4939-9A4D-7EC4B2F43B8C
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,BDB73442-59D1-4A1B-B2D3-0F6213B20D5F
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,43ED6390-7C7C-421B-9965-99B4C147FA51
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,7B0DF71F-7966-44FB-9ED8-15626FCDEFBA
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,7C4983DE-E0EF-4012-B6E4-98021D22835A
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,184281B4-0089-40E4-AF7D-65B4A1975455
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,FB92509B-7CF6-44E7-B25A-B5DA5ECF442E
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,A91524F7-00F4-443A-83B0-A3BC680AF9D3
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,28F55E4F-BBE6-4308-8BB7-00C2004A5D0D
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,2DB51A64-579C-4284-BD87-70A8BA28553C
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,CC915226-6BC0-47E0-BC96-D47F8433E0EE
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,19866C2E-8C2D-421F-A018-5EC817D64F46
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,D978D008-6B00-4865-9886-4DDFF7EBC073
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,F8251489-3D9B-4AF9-8487-40D75A2E5D26
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,EEDFD9D1-402A-4D7C-9A95-70274F99A102
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,17777453-E9BE-4F75-B745-C8E6A9B24BA3
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,BF830BEE-CD3C-4BFD-8D2D-7B3A59C1F969
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,3474BE69-B2E1-47F8-AC64-EFE5EDDC1AC2
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,9E95FF3E-130B-4156-8B9D-818290906E53
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,A8B44171-0B1E-40E8-BCAF-DCC4A4996D3B
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,84BE9F29-D06C-4A9A-B487-05ECC1C9DA6C
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,4D476FC9-235A-49E8-882D-EB55D987F221
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,5ECB2B45-D936-4E33-B5AF-D945F6A5367C
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,213BE0C8-7262-4530-A794-FEF55DE2ADBF
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,4C9F0F07-2422-4545-AF03-D32B9BA7B104
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,1F6D2B42-F4DD-44CF-92C8-34F067788AB5
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,95AB5EFB-DBC8-4D48-AF7A-7FB60B380EDD
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,89D88AD4-4B02-4D8B-B961-E2E220D17769
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,AA43EA59-CB4E-4E49-A99F-5E23E019E990
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,6AD50FFA-1764-49BF-8FA4-7A9005B863EB
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,FB77A3F5-5484-419D-9FEA-EBF24F93912C
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,AA0D5373-EFDA-4C71-BF6A-1FE4AE6D8042
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,3C8FB3B5-0F7A-4F05-80D1-F37A59911C2E
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,BB72CA80-6A90-43AB-AE39-CB54792AEAD7
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,7B0E88DF-17FA-4F8E-BBB7-8543E1DB6FFC
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,B66D8770-0E74-48FA-8541-A8F6FCAB480A
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,69F3BC3A-D6A8-4AA6-9C53-EB37A166850F
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,779745F8-1BCD-4124-BF07-4393DF389C04
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,52E54444-70F2-4542-B234-21F4EDB2815D
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,2EC3D7D8-1863-4BD3-AC82-3B11643CB241
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,EF1AAACC-2278-4176-B17E-C124CCA9B595
10,0.000000,0.000000,1.300000,1.000000,0.500000,3650,5CFFB5EE-296E-4FC9-959C-6F52E243EE87
